S.No.,Statement,Predicate
1,"If you're resourceful, find solutions.",∀ X resourceful?(X) → find_solutions?(X)
2,"If the cake is ready, take it out of the oven.","∀ X ready?(cake) → take_out?(X, oven)"
3,"If you're honest, tell the truth.",∀ X honest?(X) → tell_truth?(X)
4,"If the plant looks dry, water it.","∀ X looks_dry?(plant) → water?(X, plant)"
5,"If the battery dies, charge your phone.","∀ X dies?(battery) → charge?(X, phone)"
6,"If the sunset is beautiful, take pictures.","∀ X beautiful?(sunset) → take_pictures?(X, sunset)"
7,"If you're tired, take a nap.",∀ X tired?(X) → take_nap?(X)
8,"If the bread is stale, make toast.","∀ X stale?(bread) → make_toast?(X, bread)"
9,"If the bird sings, listen carefully.","∀ X sings?(bird) → listen_carefully?(X, bird)"
10,"If you study hard, you'll pass the test.",∀ X study_hard?(X) → pass_test?(X)
11,"If the snow falls, shovel the path.","∀ X falls?(snow) → shovel?(X, path)"
12,"If the music is too loud, turn it down.","∀ X too_loud?(music) → turn_down?(X, music)"
13,"If you're cold, put on a sweater.","∀ X cold?(X) → put_on?(X, sweater)"
14,"If the door is locked, use your key.","∀ X locked?(door) → use?(X, key)"
15,"If you're hopeful, share optimism.",∀ X hopeful?(X) → share_optimism?(X)
16,"If the bell rings, answer the door.","∀ X rings?(bell) → answer?(X, door)"
17,"If you're creative, make something.","∀ X creative?(X) → make?(X, something)"
18,"If it rains tomorrow, I'll bring an umbrella.",rain?(tomorrow) → bring_umbrella?(me)
19,"If the shoes fit, buy them.","∀ X fit?(shoes) → buy?(X, shoes)"
20,"If we hurry, we won't be late.",hurry?(we) → not_late?(we)
21,"If you're wrong, admit it.",∀ X wrong?(X) → admit?(X)
22,"If the train is delayed, be patient.",∀ X delayed?(train) → be_patient?(X)
23,"If the wind blows, close the windows.","∀ X blows?(wind) → close?(X, windows)"
24,"If you're brave, face fears.",∀ X brave?(X) → face_fears?(X)
25,"If the pencil breaks, sharpen it.","∀ X breaks?(pencil) → sharpen?(X, pencil)"
26,"If you're hungry, there's food in the fridge.",∀ X hungry?(X) → food_in_fridge?(X)
